instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V450_5.txt,10,100,450,branchBound,252,0.000014,N/A
inst_N10_W100_V450_6.txt,10,100,450,dynamicProg,440,0.036922,N/A
inst_N10_W100_V450_6.txt,10,100,450,backtracking,440,0.000269,1757
inst_N10_W100_V450_6.txt,10,100,450,branchBound,428,0.000020,N/A
inst_N10_W100_V450_7.txt,10,100,450,dynamicProg,361,0.033976,N/A
inst_N10_W100_V450_7.txt,10,100,450,backtracking,361,0.000192,1713
inst_N10_W100_V450_7.txt,10,100,450,branchBound,361,0.000010,N/A
inst_N10_W100_V450_8.txt,10,100,450,dynamicProg,415,0.041092,N/A
inst_N10_W100_V450_8.txt,10,100,450,backtracking,415,0.000168,1365
inst_N10_W100_V450_8.txt,10,100,450,branchBound,402,0.000013,N/A
inst_N10_W100_V450_9.txt,10,100,450,dynamicProg,412,0.034332,N/A
inst_N10_W100_V450_9.txt,10,100,450,backtracking,412,0.000174,1479
inst_N10_W100_V450_9.txt,10,100,450,branchBound,398,0.000013,N/A
inst_N10_W100_V500_0.txt,10,100,500,dynamicProg,401,0.051956,N/A
inst_N10_W100_V500_0.txt,10,100,500,backtracking,401,0.000341,1865
inst_N10_W100_V500_0.txt,10,100,500,branchBound,401,0.000018,N/A
inst_N10_W100_V500_1.txt,10,100,500,dynamicProg,399,0.041225,N/A
inst_N10_W100_V500_1.txt,10,100,500,backtracking,399,0.000182,1559
inst_N10_W100_V500_1.txt,10,100,500,branchBound,399,0.000021,N/A
inst_N10_W100_V500_2.txt,10,100,500,dynamicProg,403,0.048214,N/A
inst_N10_W100_V500_2.txt,10,100,500,backtracking,403,0.000196,1877
inst_N10_W100_V500_2.txt,10,100,500,branchBound,403,0.000010,N/A
inst_N10_W100_V500_3.txt,10,100,500,dynamicProg,424,0.047936,N/A
inst_N10_W100_V500_3.txt,10,100,500,backtracking,424,0.000212,1385
inst_N10_W100_V500_3.txt,10,100,500,branchBound,319,0.000003,N/A
inst_N10_W100_V500_4.txt,10,100,500,dynamicProg,533,0.055022,N/A
inst_N10_W100_V500_4.txt,10,100,500,backtracking,533,0.000229,2003
inst_N10_W100_V500_4.txt,10,100,500,branchBound,533,0.000013,N/A
inst_N10_W100_V500_5.txt,10,100,500,dynamicProg,465,0.046930,N/A
inst_N10_W100_V500_5.txt,10,100,500,backtracking,465,0.000197,1789
inst_N10_W100_V500_5.txt,10,100,500,branchBound,465,0.000028,N/A
inst_N10_W100_V500_6.txt,10,100,500,dynamicProg,415,0.046395,N/A
inst_N10_W100_V500_6.txt,10,100,500,backtracking,415,0.000218,1735
